Sigla,Stato,Somma di Popolazione,Capitale
AL,Alabama,5024279,Montgomery
AK,Alaska,733391,Juneau
AZ,Arizona,7151502,Phoenix
AR,Arkansas,3011524,Little Rock
CA,California,39538223,Sacramento
CO,Colorado,5773714,Denver
CT,Connecticut,3605944,Hartford
DE,Delaware,989948,Dover
FL,Florida,21538187,Tallahassee
GA,Georgia,10711908,Atlanta
HI,Hawaii,1455271,Honolulu
ID,Idaho,1839106,Boise
IL,Illinois,12812508,Springfield
IN,Indiana,6785528,Indianapolis
IA,Iowa,3190369,Des Moines
KS,Kansas,2937880,Topeka
KY,Kentucky,4505836,Frankfort
LA,Louisiana,4657757,Baton Rouge
ME,Maine,1362359,Augusta
MD,Maryland,6177224,Annapolis
MA,Massachusetts,7029917,Boston
MI,Michigan,10077331,Lansing
MN,Minnesota,5706494,Saint Paul
MS,Mississippi,2961279,Jackson
MO,Missouri,6154913,Jefferson City
MT,Montana,1084225,Helena
NE,Nebraska,1961504,Lincoln
NV,Nevada,3104614,Carson City
NH,NewHampshire,1377529,Concord
NJ,NewJersey,9288994,Trenton
NM,NewMexico,2117522,Santa Fe
NY,NewYork,20201249,Albany
NC,NorthCarolina,10439388,Raleigh
ND,NorthDakota,779094,Bismarck
OH,Ohio,11799448,Columbus
OK,Oklahoma,3959353,Oklahoma City
OR,Oregon,4237256,Salem
PA,Pennsylvania,13002700,Harrisburg
RI,RhodeIsland,1097379,Providence
SC,SouthCarolina,5118425,Columbia
SD,SouthDakota,886667,Pierre
TN,Tennessee,6910840,Nashville
TX,Texas,29145505,Austin
UT,Utah,3271616,Salt Lake City
VT,Vermont,643077,Montpelier
VA,Virginia,8631393,Richmond
WA,Washington,7705281,Olympia
WV,WestVirginia,1793716,Charleston
WI,Wisconsin,5893718,Madison
WY,Wyoming,576851,Cheyenne
